claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
33,46,M,1,67,38273,1,1,Own,50054,1/25/2015,Sunday,Parking Lot,0,0,29,Broker,0,5219.472628,5,Medium,22364.2237,white,41521.51788
41,71,M,0,36,42612,1,0,Own,80023,10/1/2015,Thursday,Parking Lot,0,0,5,Broker,0,7887.114448,7,Medium,13976.46697,red,14716.84093
44,53,M,1,27,39695,1,0,Rent,20151,3/13/2015,Friday,Parking Lot,0,0,28,Broker,1,6695.373772,5,Compact,8241.007024,white,18457.04172
45,40,M,1,62,36898,1,1,Rent,20130,8/25/2015,Tuesday,Parking Lot,0,0,50,Broker,1,6452.868998,3,Large,42355.02503,other,17501.04046
46,25,F,1,90,32200,1,1,Rent,50037,5/21/2015,Thursday,Parking Lot,0,0,27,Online,1,6928.354549,10,Compact,24877.83571,white,7352.712281
47,31,M,1,76,34338,1,1,Own,15021,12/16/2016,Friday,Local,0,0,100,Phone,0,3014.110884,7,Medium,19752.42523,gray,15279.38583
48,53,F,1,93,39704,0,1,Own,85027,2/25/2015,Wednesday,Parking Lot,0,0,100,Phone,0,5671.599025,1,Medium,32910.34224,red,20909.27772
51,33,F,0,84,34966,1,1,Rent,85071,10/19/2015,Monday,Highway,0,0,0,Online,1,6535.274892,6,Medium,20296.57713,blue,19166.48272
52,180,F,1,87,51918,1,1,Own,20101,6/13/2016,Monday,Local,0,0,11,Broker,1,2678.252957,5,Medium,9223.388197,black,26935.00725
55,41,M,1,87,37127,1,0,Own,80046,9/4/2015,Friday,Local,0,0,25,Phone,0,4064.569489,6,Medium,28570.37675,red,34493.97997
57,49,F,0,55,38913,1,1,Own,15056,3/15/2016,Tuesday,Local,0,0,61,Broker,0,2184.112243,4,Compact,10120.91233,white,13369.7485
60,42,F,0,68,37362,1,0,Own,80042,5/26/2015,Tuesday,Local,0,1,84,Phone,1,2812.365265,4,Medium,12689.88429,white,6535.967672
62,38,F,0,82,36381,0,0,Own,15060,6/26/2016,Sunday,Local,0,0,94,Broker,1,2563.060118,3,Large,16694.76304,black,16236.01181
65,31,M,1,95,34344,1,0,Own,80104,5/31/2016,Tuesday,Parking Lot,3,0,49,Broker,1,3603.909203,5,Large,18410.05074,white,26911.82966
70,38,M,0,75,36383,1,1,Own,80040,8/5/2016,Friday,Highway,1,0,49,Broker,1,5105.65146,8,Large,17741.73455,other,16003.73842
72,42,F,0,47,37382,0,1,Rent,85035,1/30/2015,Friday,Parking Lot,0,0,27,Broker,0,4742.0426,6,Large,21724.11743,white,27731.36617
75,46,M,0,75,38279,1,1,Rent,85076,5/27/2015,Wednesday,Local,1,1,61,Broker,1,3177.629033,10,Medium,21739.19891,blue,33341.3425
79,31,M,1,90,34336,1,1,Own,80021,10/29/2015,Thursday,Highway,0,1,74,Online,0,4131.629668,6,Large,27551.63171,white,22598.56873
82,50,M,1,89,39132,1,1,Rent,20151,5/16/2015,Saturday,Parking Lot,0,0,10,Phone,0,5712.282494,6,Large,53451.42101,silver,7131.377201
84,44,F,1,87,37841,1,1,Own,85082,12/1/2016,Thursday,Highway,2,0,17,Broker,1,5479.393613,4,Medium,44607.84674,gray,26288.76546
86,61,M,0,83,41123,0,1,Own,80108,5/30/2016,Monday,Parking Lot,1,0,12,Broker,0,3195.034508,7,Large,27009.68072,red,6771.507546
87,42,F,1,68,37371,1,0,Own,80015,8/31/2016,Wednesday,Parking Lot,1,0,77,Phone,1,9218.58245,2,Large,17740.69947,black,28271.74319
88,55,F,1,87,40076,0,1,Rent,85033,6/30/2015,Tuesday,Highway,0,0,82,Broker,0,5054.288169,6,Large,17123.78036,silver,22054.95189
97,35,F,1,60,35554,1,1,Own,15001,3/23/2016,Wednesday,Local,2,0,50,Broker,0,6170.326094,6,Large,60839.93555,red,19198.00666
101,34,M,1,74,35250,0,0,Own,15025,5/9/2015,Saturday,Local,0,0,0,Broker,0,3483.607339,7,Large,8302.951194,white,16277.49503
103,30,F,1,79,34012,1,1,Own,50041,9/27/2015,Sunday,Parking Lot,0,0,61,Phone,0,3973.694785,7,Medium,28091.43192,silver,15488.98712
105,51,F,1,87,39324,1,1,Own,50050,12/2/2015,Wednesday,Highway,0,1,58,Broker,1,4462.11933,5,Medium,34778.37081,red,12400.61295
106,49,F,0,57,38905,1,0,Own,80015,7/15/2016,Friday,Local,0,0,18,Phone,1,4264.395565,10,Large,23264.32531,blue,33770.80035
107,42,M,0,69,37391,1,0,Own,20138,5/14/2016,Saturday,Highway,0,0,22,Online,1,2672.115702,1,Medium,39995.5084,gray,14213.3989
112,70,M,1,58,42488,1,0,Own,20158,11/6/2015,Friday,Local,0,0,50,Phone,0,2417.922997,5,Compact,29214.5357,black,19172.68928
113,28,F,1,49,33317,1,1,Rent,15057,6/15/2016,Wednesday,Parking Lot,1,0,50,Phone,1,3456.679158,5,Compact,23876.17436,silver,32074.03469
117,55,M,1,67,40089,0,0,Rent,85003,4/16/2015,Thursday,Local,0,1,56,Online,1,3631.718201,5,Large,56915.46197,black,21946.94708
118,38,M,1,78,36374,0,0,Rent,20140,2/26/2015,Thursday,Local,0,0,50,Phone,1,7204.667355,3,Large,17991.21351,gray,12246.51763
122,41,F,1,84,37143,1,0,Rent,20111,11/17/2015,Tuesday,Parking Lot,1,0,38,Broker,1,6203.390205,4,Medium,11938.68927,white,23161.21275
123,55,F,1,67,40062,1,0,Rent,20151,2/24/2015,Tuesday,Parking Lot,0,0,49,Broker,0,5039.464528,8,Large,14345.7639,blue,25296.44532
124,44,F,1,56,37824,0,0,Own,50047,5/8/2015,Friday,Local,2,0,39,Online,0,3317.340633,7,Large,27852.45267,gray,6667.148308
125,42,F,0,92,37384,1,1,Own,50009,9/3/2016,Saturday,Highway,0,0,72,Phone,1,3388.568025,4,Compact,12006.5627,red,12427.00182
128,51,F,1,84,39299,0,1,Rent,15025,11/24/2016,Thursday,Highway,0,,97,Broker,0,3847.864497,5,Large,14818.03553,blue,32739.31994
134,35,M,1,85,35543,0,1,Own,80033,6/14/2015,Sunday,Parking Lot,0,1,97,Broker,1,3985.430193,7,Medium,21881.57093,silver,18424.87552
136,34,F,1,94,35258,1,0,Own,85071,4/2/2015,Thursday,Local,0,1,96,Broker,0,10125.61747,4,Compact,31606.31692,black,39842.74158
137,54,F,1,67,39886,1,0,Rent,20111,5/6/2015,Wednesday,Highway,0,0,70,Broker,0,3911.318457,1,Medium,16049.82276,red,23124.3461
138,39,M,1,98,36642,1,1,Rent,85030,2/21/2015,Saturday,Local,0,0,90,Broker,0,9518.931966,4,Medium,41638.80222,black,16146.72779
139,70,M,0,88,42481,1,0,Own,50021,2/14/2015,Saturday,Parking Lot,0,0,3,Online,0,1930.817776,4,Compact,19282.56245,blue,17208.23615
140,40,F,1,79,36905,1,0,Rent,15009,9/10/2016,Saturday,Parking Lot,0,1,49,Broker,1,2949.266095,4,Medium,18596.30585,silver,17577.36215
141,66,F,1,55,41882,1,1,Own,85075,2/11/2016,Thursday,Local,1,0,41,Broker,1,2380.006504,8,Large,38142.34063,white,14611.37173
142,46,M,1,93,38293,0,1,Own,20134,11/23/2015,Monday,Local,0,1,65,Broker,1,2092.11714,6,Compact,24360.80004,black,24734.22136
144,22,F,0,19,30899,1,0,Rent,20148,4/17/2016,Sunday,Parking Lot,0,0,16,Online,0,7014.866649,2,Compact,8693.258524,blue,11211.98119
152,35,M,1,89,35567,1,0,Own,85035,10/16/2016,Sunday,Local,1,0,11,Broker,1,2824.132304,3,Large,13732.92641,other,37688.63555
153,39,F,0,86,36631,0,1,Rent,85026,8/22/2015,Saturday,Local,1,0,1,Broker,1,5880.027766,4,Medium,29152.38472,silver,21041.21344
154,44,M,1,84,37867,1,1,Own,15012,6/7/2016,Tuesday,Parking Lot,0,0,55,Broker,0,6317.361788,3,Large,13588.91697,blue,36439.29976
156,47,F,1,75,38507,1,0,Rent,20103,3/9/2016,Wednesday,Local,0,0,100,Broker,1,4147.768365,2,Large,18215.12774,black,17262.50098
168,50,F,1,92,39121,0,1,Rent,85017,4/9/2015,Thursday,Local,0,1,100,Broker,0,5269.109598,11,Large,15197.32244,silver,59599.72107
170,23,M,1,82,31353,1,0,Rent,15015,3/21/2015,Saturday,Highway,0,0,80,Phone,1,5335.459014,6,Compact,12224.5503,white,24375.06253
172,53,F,1,63,39704,1,1,Own,80110,2/12/2015,Thursday,Local,0,0,1,Broker,1,2137.280899,8,Large,33940.91368,black,10637.86699
174,55,M,1,83,40065,0,1,Own,80107,8/31/2015,Monday,Parking Lot,0,0,69,Phone,0,6011.22711,4,Compact,12845.13183,other,30130.72245
176,44,F,0,65,37841,1,1,Rent,85001,9/1/2015,Tuesday,Local,0,0,86,Phone,1,10852.36645,4,Large,76566.41329,silver,30982.76488
181,45,M,1,81,38066,1,1,Own,80047,10/18/2015,Sunday,Local,0,1,50,Broker,0,3850.363277,7,Large,25468.29525,white,30083.56947
184,36,M,1,77,35832,1,0,Own,15057,10/7/2016,Friday,Local,0,0,4,Broker,1,1867.711905,11,Medium,11995.85616,silver,18359.64826
191,58,F,1,76,40638,1,0,Own,20148,8/4/2015,Tuesday,Local,1,0,86,Broker,0,2718.867693,7,Compact,15424.40757,white,7373.215995
192,37,F,0,68,36116,0,1,Rent,80022,5/26/2015,Tuesday,Highway,0,0,51,Phone,1,5904.032433,5,Large,34708.88292,black,23599.39624
196,63,F,0,69,41432,1,0,Own,50047,10/24/2016,Monday,Local,1,1,58,Broker,0,3241.999616,3,Medium,15079.92728,other,35519.77641
198,30,M,1,73,34005,1,0,Rent,50001,2/24/2016,Wednesday,Parking Lot,0,0,91,Broker,0,4388.586337,0,Medium,19906.04194,blue,19725.62174
201,49,M,1,84,38929,1,1,Own,20128,4/12/2016,Tuesday,Parking Lot,0,0,42,Broker,0,9581.138939,7,Medium,18026.35288,other,15560.15721
202,42,F,1,82,37387,1,1,Rent,15005,7/24/2016,Sunday,Parking Lot,0,1,76,Broker,1,3719.226584,5,Large,15132.10051,other,8112.561758
203,40,F,1,77,36891,1,1,Own,50047,8/6/2016,Saturday,Parking Lot,0,0,50,Phone,1,5891.41743,5,Medium,19450.25858,silver,12600.65557
205,35,F,1,63,35551,1,1,Own,80003,9/27/2016,Tuesday,Highway,0,0,93,Phone,1,5429.714276,3,Medium,22227.21526,black,18229.27521
206,36,M,1,87,35846,1,1,Own,15004,3/15/2015,Sunday,Local,6,1,50,Broker,1,6656.705136,4,Medium,26662.66272,blue,41788.68458
207,54,F,0,79,39910,1,1,Own,80005,5/27/2015,Wednesday,Highway,0,0,32,Phone,1,8093.500512,10,Medium,34694.52214,blue,12470.68379
212,49,F,1,50,38932,1,1,Rent,80014,7/7/2016,Thursday,Parking Lot,0,0,50,Broker,0,4709.892335,4,Compact,38439.48915,silver,50426.63844
218,45,F,1,64,38071,0,1,Own,15046,12/25/2015,Friday,Local,2,0,47,Broker,1,3248.160744,2,Large,20957.69597,blue,10310.19145
224,40,M,1,82,36875,1,1,Rent,50054,2/8/2015,Sunday,Local,0,0,65,Broker,1,3601.412519,7,Compact,28175.81513,white,25771.75307
225,43,F,1,62,37608,0,1,Own,20105,11/26/2015,Thursday,Local,0,1,73,Broker,0,3537.3929,5,Medium,27427.08917,other,28972.38252
226,34,M,0,89,35271,0,1,Own,80002,9/14/2015,Monday,Local,0,0,63,Broker,1,2245.053579,3,Compact,12224.10641,red,45022.19843
229,27,M,0,36,32955,1,0,Rent,50023,12/28/2015,Monday,Parking Lot,2,0,71,Phone,1,6794.780109,5,Large,7879.238294,black,41443.38211
231,42,F,1,65,37380,0,1,Rent,85072,10/5/2016,Wednesday,Parking Lot,3,0,93,Phone,1,4019.553749,6,Large,34221.32516,silver,21670.54025
234,51,F,1,85,39319,0,1,Own,85065,11/21/2016,Monday,Highway,0,1,70,Broker,0,6113.609257,6,Compact,38245.96898,other,19851.10181
239,62,M,0,90,41285,1,1,Own,50021,12/22/2015,Tuesday,Local,0,0,76,Phone,1,5001.112247,4,Large,16521.38304,white,24548.54157
240,30,F,1,89,34038,0,1,Rent,15020,5/18/2015,Monday,Parking Lot,0,0,53,Broker,0,4905.166737,6,Medium,42200.1177,white,11617.67879
243,28,M,1,95,33316,1,1,Rent,80040,7/25/2015,Saturday,Local,0,0,2,Online,0,5930.519345,6,Compact,14549.74144,red,3814.324131
244,54,M,1,69,39891,1,0,Rent,50055,11/1/2016,Tuesday,Parking Lot,1,0,66,Online,1,4458.388502,4,Compact,25344.66423,blue,25617.56276
246,34,M,1,82,35268,0,1,Own,20106,3/20/2016,Sunday,Parking Lot,0,1,0,Phone,1,3431.849274,5,Large,20504.51437,black,44689.78043
247,31,F,0,94,34337,1,1,Own,85077,3/9/2016,Wednesday,Local,1,0,94,Phone,1,5270.906542,4,Medium,21003.68362,gray,22015.10594
249,44,M,0,73,37852,1,1,Own,50043,12/23/2016,Friday,Parking Lot,1,1,81,Phone,1,3812.903368,1,Medium,15002.20433,gray,15462.54245
250,46,F,1,80,38284,0,1,Own,20132,12/17/2015,Thursday,Local,0,0,56,Broker,0,2804.759875,3,Medium,11899.07682,other,31112.62929
251,51,F,1,94,39322,1,0,Own,85050,10/2/2015,Friday,Local,0,1,1,Broker,0,3037.610256,1,Large,43824.75593,other,7966.571655
252,51,M,1,90,39320,1,1,Own,85077,10/31/2016,Monday,Parking Lot,0,0,1,Broker,1,4264.014571,5,Large,8140.035325,white,16893.88526
253,53,F,1,60,39698,1,0,Own,15028,7/4/2016,Monday,Local,1,0,84,Broker,1,8845.458046,6,Large,12137.43518,blue,8116.041054
254,51,F,1,77,39324,1,1,Own,50009,7/24/2016,Sunday,Highway,0,0,45,Broker,0,4016.129897,6,Large,42900.75812,gray,27339.17191
255,37,F,1,34,36107,1,0,Own,50047,6/27/2016,Monday,Highway,0,1,93,Broker,0,3964.794787,3,Medium,19388.08205,gray,19170.61225
259,47,F,1,44,38492,1,0,Rent,50002,7/30/2015,Thursday,Highway,0,0,57,Phone,0,4627.458464,4,Large,14516.1342,white,12701.78418
263,51,M,1,43,39303,1,0,Rent,15021,6/30/2015,Tuesday,Parking Lot,0,0,88,Broker,1,1621.600093,3,Compact,14005.34192,black,24905.63089
264,62,F,0,75,41258,0,1,Own,20137,3/1/2016,Tuesday,Local,0,0,28,Phone,1,3011.284525,4,Compact,18719.35593,gray,34051.34729
265,42,F,1,66,37378,1,1,Rent,80021,11/16/2016,Wednesday,Local,2,0,50,Broker,1,4662.998761,4,Compact,15107.92203,other,38241.0021
267,32,F,0,93,34658,1,0,Own,80010,1/23/2016,Saturday,Highway,0,0,100,Phone,0,4130.137132,8,Large,15699.24609,other,9448.857968
269,61,M,0,54,41116,0,0,Rent,80021,1/9/2015,Friday,Highway,1,1,63,Broker,0,4825.665969,4,Large,25613.7411,blue,26673.21398
270,27,F,0,91,32965,0,1,Rent,80024,10/17/2015,Saturday,Local,0,1,31,Online,1,3263.765191,4,Medium,18863.8582,silver,10552.74943
272,53,M,1,75,39702,1,1,Own,50047,11/10/2015,Tuesday,Parking Lot,0,0,44,Broker,0,5411.448426,4,Medium,15572.02699,gray,19188.06397
273,46,M,0,45,38279,0,1,Own,15025,9/22/2016,Thursday,Local,1,1,34,Phone,1,4499.059204,2,Large,25602.20531,other,30860.11818
276,57,M,1,65,40433,1,0,Rent,85007,8/9/2015,Sunday,Parking Lot,1,0,64,Phone,1,5461.151361,1,Medium,9732.691388,gray,26752.07125
281,50,M,0,88,39131,1,1,Own,80027,4/5/2016,Tuesday,Local,1,0,3,Broker,1,6617.727139,6,Compact,26104.11798,silver,15876.25197
282,42,M,1,72,37364,1,1,Own,20148,11/7/2015,Saturday,Local,0,0,30,Broker,1,8135.804528,2,Medium,15082.53767,gray,16118.95506
286,22,M,1,69,30924,0,0,Rent,50058,2/9/2015,Monday,Parking Lot,0,0,100,Online,0,2655.355184,4,Medium,24786.22089,red,14257.22238
289,52,F,1,94,39524,0,1,Own,15052,3/29/2016,Tuesday,Local,0,0,100,Broker,1,7378.578881,8,Compact,7242.989503,other,14750.78318
290,40,F,1,76,36890,1,1,Own,85003,8/12/2016,Friday,Local,2,1,47,Broker,1,2140.920181,5,Compact,28760.18638,other,11284.7692
291,46,F,1,72,38287,0,0,Own,80021,8/2/2016,Tuesday,Parking Lot,0,0,98,Broker,0,5868.137258,3,Compact,34776.22171,white,18491.8286
293,40,M,0,68,36904,0,1,Rent,85009,5/29/2015,Friday,Local,0,1,34,Online,1,5920.179999,3,Medium,6824.778815,gray,27635.95547
297,56,M,1,83,40242,1,1,Rent,20148,10/19/2016,Wednesday,Local,0,1,27,Phone,0,4511.907191,3,Medium,10883.7118,red,11807.93998
304,37,F,1,69,36110,0,1,Own,85051,4/3/2015,Friday,Local,1,0,6,Broker,1,3284.068203,3,Compact,31840.83158,red,40858.07132
308,51,M,1,65,39316,0,1,Rent,20122,7/17/2016,Sunday,Highway,0,1,27,Phone,0,5009.360744,4,Medium,8691.36746,black,20342.4402
314,65,F,0,38,41753,1,0,Rent,85072,2/16/2015,Monday,Parking Lot,0,0,47,Broker,1,3172.589666,4,Compact,36309.45607,blue,20268.00322
317,41,M,1,71,37122,0,1,Own,50020,1/31/2015,Saturday,Local,1,0,78,Broker,0,5346.726506,4,Large,41698.20893,black,16208.73701
321,77,M,1,84,43433,0,0,Own,80020,8/13/2015,Thursday,Parking Lot,0,0,97,Broker,0,8823.01632,6,Medium,39847.01367,black,13223.27274
322,43,F,0,89,37619,1,1,Own,85070,5/14/2016,Saturday,Parking Lot,0,1,100,Broker,1,1756.421619,7,Large,18542.81153,blue,19058.53449
324,23,F,1,85,31362,1,0,Own,50039,3/25/2016,Friday,Local,0,0,72,Online,0,5030.649249,3,Large,19730.66413,red,54359.72261
327,45,M,0,56,38052,1,1,Own,20101,7/21/2015,Tuesday,Parking Lot,1,0,100,Broker,0,2697.474755,7,Compact,4138.483315,blue,12520.29336
332,23,F,1,73,31370,0,0,Rent,80010,2/5/2016,Friday,Local,1,0,49,Broker,1,2625.440929,9,Large,18469.63603,white,29480.97638
335,41,M,1,76,37131,0,1,Own,50041,10/24/2016,Monday,Local,0,1,99,Broker,1,1022.641762,7,Compact,18631.1098,black,9556.830897
336,46,M,1,82,38298,1,1,Rent,50029,12/7/2015,Monday,Local,0,0,78,Broker,1,12907.05652,2,Large,12809.56711,red,30383.98806
337,47,M,0,86,38517,0,1,Own,15001,3/9/2015,Monday,Local,5,0,51,Broker,1,5852.250205,3,Large,9707.790581,white,18691.39796
338,54,M,1,79,39910,1,0,Rent,85063,2/16/2016,Tuesday,Local,0,1,22,Broker,0,6331.805943,6,Medium,42158.53243,blue,19501.68833
339,58,F,1,75,40610,0,1,Rent,80022,12/24/2016,Saturday,Parking Lot,0,0,58,Broker,0,6241.437233,6,Large,27597.9381,red,16031.33775
340,36,F,0,92,35852,1,1,Rent,80004,5/19/2016,Thursday,Parking Lot,0,0,34,Broker,1,4323.134665,5,Medium,48135.78241,silver,18104.21231
341,57,F,1,86,40404,1,1,Rent,85062,10/1/2015,Thursday,Local,0,0,60,Broker,1,3324.849423,2,Compact,11892.39493,red,18460.04211
343,37,M,1,37,36111,1,1,Own,20119,12/19/2015,Saturday,Local,0,0,33,Broker,0,4876.942583,6,Medium,12100.52391,white,41720.31416
344,38,F,1,83,36381,1,1,Own,20156,5/10/2016,Tuesday,Local,0,0,0,Broker,1,2166.837503,7,Large,27521.06186,blue,23149.5244
345,45,F,0,57,38056,0,1,Own,85006,12/31/2016,Saturday,Local,1,0,50,Phone,1,2314.389231,3,Medium,41194.09871,white,16502.57797
346,49,F,1,65,38923,1,0,Rent,20132,1/10/2015,Saturday,Local,0,0,50,Online,0,2393.75065,6,Large,33819.24209,white,19826.57333
347,49,F,0,60,38929,1,1,Own,50025,11/28/2016,Monday,Local,0,1,1,Broker,0,5558.336387,5,Compact,4301.132673,gray,27808.44938
349,28,M,1,83,33322,0,1,Rent,20117,9/28/2015,Monday,Parking Lot,0,1,97,Phone,1,4432.226653,3,Medium,11213.12223,red,26346.03809
350,30,F,1,50,34005,0,1,Own,20132,2/9/2016,Tuesday,Local,0,0,95,Broker,1,7328.307613,4,Large,24710.94693,white,44057.14254
351,65,M,1,72,41755,1,0,Own,15017,2/22/2015,Sunday,Highway,0,0,96,Broker,1,4578.249494,6,Medium,39828.21897,silver,18444.29731
355,48,F,0,87,38721,1,0,Rent,15010,10/5/2016,Wednesday,Highway,1,1,9,Broker,1,6733.719807,9,Large,10842.63603,blue,62190.77226
361,28,F,0,47,33327,1,1,Rent,80028,12/19/2016,Monday,Parking Lot,0,0,62,Online,0,7798.074132,4,Compact,26144.80726,white,23265.25716
362,40,M,1,77,36888,1,1,Rent,80022,10/20/2016,Thursday,Local,0,0,84,Online,0,7995.395287,4,Large,51347.94077,red,19759.03433
363,48,F,0,60,38729,1,1,Own,15055,11/10/2015,Tuesday,Local,0,1,16,Broker,1,4593.261402,5,Medium,13878.71776,white,9528.013434
364,55,F,1,93,40071,1,1,Own,80002,10/17/2015,Saturday,Local,3,0,51,Phone,1,1882.484537,3,Compact,32829.02668,blue,5747.298004
365,51,F,1,87,39307,1,0,Rent,85035,10/14/2015,Wednesday,Highway,2,0,99,Phone,1,7990.167818,4,Compact,31615.03599,other,28699.249
369,30,M,1,84,34018,1,1,Own,50048,12/15/2016,Thursday,Highway,0,0,27,Broker,1,3941.318365,8,Large,26138.53138,red,45537.61895
370,66,F,1,87,41893,0,0,Own,20140,10/2/2015,Friday,Highway,0,0,95,Broker,1,9139.027248,6,Compact,31714.76674,gray,19270.58406
372,60,F,1,89,40951,1,0,Own,85038,8/5/2016,Friday,Highway,0,0,39,Broker,1,4751.586868,1,Medium,32526.04076,other,27257.32604
376,20,F,1,84,29961,0,0,Rent,85068,1/12/2015,Monday,Highway,1,0,23,Online,1,6490.132347,4,Compact,4156.386037,gray,25034.10627
377,41,F,0,66,37130,1,0,Rent,20163,2/15/2016,Monday,Parking Lot,0,0,99,Phone,1,3996.453104,7,Medium,13942.05244,gray,41405.79596
378,50,M,1,68,39121,1,1,Own,15053,6/9/2015,Tuesday,Parking Lot,0,1,3,Phone,1,3043.078453,7,Compact,17149.64126,red,11575.14651
379,66,M,1,54,41883,1,1,Rent,50009,1/2/2016,Saturday,Highway,0,0,95,Online,0,3907.62004,5,Medium,31278.85513,black,15775.43402
381,47,F,1,79,38495,1,1,Own,80002,7/29/2015,Wednesday,Parking Lot,0,0,1,Phone,1,6387.075386,4,Medium,28423.24271,gray,42880.44492
387,28,F,0,90,33342,1,1,Rent,20143,12/5/2016,Monday,Local,1,0,49,Online,1,3648.159041,4,Large,18898.80802,other,15048.62737
388,49,F,0,79,38933,0,1,Own,85028,10/30/2015,Friday,Local,1,1,24,Phone,1,6706.715266,7,Compact,11488.23238,silver,19754.24336
394,50,M,1,69,39121,0,1,Own,85082,1/19/2015,Monday,Highway,0,0,29,Broker,1,8420.978934,4,Medium,32140.64618,gray,27573.28353
396,33,F,1,64,34959,1,0,Rent,20107,2/19/2015,Thursday,Highway,0,0,3,Phone,0,1971.468572,2,Medium,12267.68033,gray,13732.00306
399,44,M,1,89,37851,1,1,Own,20165,11/13/2015,Friday,Highway,0,0,21,Phone,1,7193.215579,3,Medium,49584.22238,gray,47665.79269
402,33,F,1,57,34971,1,1,Rent,20104,3/18/2016,Friday,Parking Lot,0,0,96,Phone,1,7457.212527,8,Large,31494.75576,other,9692.92145
403,54,F,1,67,39887,1,0,Rent,15024,2/1/2016,Monday,Local,0,0,95,Broker,0,3929.51654,9,Large,7821.073606,gray,6347.918292
404,64,M,0,76,41599,1,0,Rent,80011,3/19/2016,Saturday,Parking Lot,5,0,0,Broker,1,4535.492318,3,Large,21795.64697,white,27897.88962
408,36,F,0,89,35832,1,0,Own,50021,9/22/2016,Thursday,Parking Lot,0,0,96,Broker,1,8206.352907,4,Compact,24432.94156,black,24155.2285
410,40,M,1,79,36884,0,0,Own,80014,9/26/2016,Monday,Highway,0,0,98,Broker,1,7636.093521,3,Large,35111.12253,white,75420.0225
411,23,M,1,11,31350,1,0,Rent,20105,1/10/2015,Saturday,Parking Lot,0,0,87,Online,1,8220.928126,2,Compact,9898.155732,gray,46334.60254
412,59,M,0,54,40781,1,1,Own,20106,10/28/2015,Wednesday,Local,0,0,76,Broker,0,931.3732396,4,Medium,36278.10239,white,27665.08972
413,28,M,0,93,33320,0,1,Rent,20112,2/16/2016,Tuesday,Local,0,0,87,Online,0,1967.357158,5,Medium,33638.09365,red,17174.9167
414,46,F,1,78,38276,0,1,Rent,20103,1/9/2015,Friday,Local,0,1,74,Broker,1,3378.844046,7,Large,51796.56765,white,20253.06789
415,51,M,1,89,39325,1,1,Rent,20151,4/14/2016,Thursday,Highway,3,1,86,Broker,1,3074.28083,4,Large,15960.74586,red,13004.54626
416,46,F,0,98,38282,1,0,Rent,15022,8/9/2015,Sunday,Highway,1,1,7,Online,1,7978.929465,5,Medium,16050.36773,black,17457.63154
423,25,M,1,43,32184,1,0,Rent,20124,11/7/2016,Monday,Local,0,0,66,Online,1,3822.847919,4,Large,14034.02655,blue,13846.02033
424,52,F,1,70,39519,1,1,Rent,50035,9/12/2016,Monday,Parking Lot,0,0,14,Phone,1,6669.939824,8,Compact,28494.95994,gray,34879.35173
428,51,M,0,47,39309,1,1,Rent,15009,3/1/2016,Tuesday,Parking Lot,0,0,50,Broker,1,7311.724336,6,Medium,23088.59829,white,17826.06784
